@English@|@Macedonian@
@instrument@|@alat, instrument (kontrolen), pomagalo, pribor@
@instrument (fig)@|@vr{itel@
@instrument (lit)@|@akt (praven), dogovor, dokument@
@instrumental@|@instrumentalen, od pomo{@
@instrumentalist@|@instrumentalist@
@instrumentality@|@pomo{, sorabotka, sredstvo@
@instrumentation@|@instrumentacija, orkestrirawe@
@insubordinate@|@nediscipliniran, nepokoren, neposlu{en@
@insubordination@|@nedisciplina, nepokoruvawe, neposlu{nost@
@insubstantial@|@nedovolen, nematerijalen@
@insufferable@|@nevozmo`en@
@insufficiency@|@mana, nedostatok, nedostig, nedovolnost@
@insufficient@|@nedostato~en, nedovolen@
@insular@|@ostrovski@
@insular (fig)@|@ograni~en, tesnograd@
@insularity (insularism)@|@ograni~enost, tesnogradnost@
@insulate@|@izolira, za{tituva@
@insulating tape@|@izolirban@
@insulation@|@izolacija, za{tita@
@insulator@|@izolator@
@insulin@|@insulin@
@insult@|@navreda, navreduva@
@insuperable insuperably@|@nenadminliv, nepremostliv, nesovladliv@
@insurance@|@osiguruvawe, ot{teta, za{tita@
@insurance company@|@zavod za osiguruvawe@
@insurance policy@|@polisa (za osiguruvawe)@
@insure@|@osiguruva@
@insure (Am)@|@obezbeduva, ovozmo`uva@
@insured@|@osigurenik@
@insurer@|@osiguruva~, osiguruva~ki zavod@
@insurgent@|@buntovnik, vostanik@
@insurgent (adj)@|@buntoven, vostani~ki@
@insurrection@|@buna, pobuna, vostanie@
@insusceptible@|@ne~uvstvitelen, neosetliv, nepodlo`en na@
@intact@|@cel, neo{teten, nepovreden@
@intactment@|@celost, neo{tetenost, nepovredenost@
@intaglio@|@gravura, rezba (skapocena)@
@intake@|@kvota, priliv@
@intangibility@|@nedofatnost, nedopirlivost@
@intangibility (fig)@|@nejasnotija, neodredenost@
@intangible@|@nejasen, neodreden, nerazbirliv@
@intangible intangibly@|@nedofatliv, nedopirliv, neopipliv@
@interfuse@|@se me{a, se sleva@
@interim@|@me|uvreme@
@interim period@|@me|uvreme, privremen@
@interior@|@enterier, vnatre{en, vnatre{nost@
@interior decorator@|@vnatre{en arhitekt@
@interlace@|@se isprepletuva so@
@interlard@|@nakituva (govor)@
@interlink@|@se povrzuva, svrzuva@
@interlock@|@se prepletuva@
@interlocutor@|@sogovornik@
@interloper@|@natrapnik@
@interlude@|@intermeco, pauza@
@interpersonal@|@me|u~ove~ki (odnosi)@
@interphone@|@interfon, vnatre{en telefon@
@intestine@|@crevo, utroba@
@intimidate@|@zastra{uva@
@intimidation@|@zakana, zastra{uvawe@
@into@|@vnatre, vo@
@into the bargain@|@kon toa, ponatamu@
@into thin air@|@nedopirliv@
@intolerable intolerably@|@neizdr`liv, nepodnosliv@
@intolerance@|@netrpelivost@
@intolerant@|@netrpeliv@
@intramural@|@interen, redoven (student), studentski@
@intramuscular@|@intramuskularen (inekcija), vo muskul@
@intransitive@|@nepreoden (glagol)@
@intrinsic.ally@|@priroden, vnatre{en, vroden@
@invocation@|@invokacija (magiska), molba, molitva, povik, priziv@
@invoice@|@faktura, fakturira, ispra}a potvrda ili smetka, potvrda, smetka@
@invoke@|@moli, povikuva (Gospod na pomo{), privikuva duhovi, priziva@
@involuntary@|@avtomatski, nenameren, neumislen, nevolen, prinuden, slu~aen@
@involuntaryness@|@nenamernost, nevolnost, prinuda, prinudenost@
@involve@|@doveduva (vo pra{awe), podrazbira, vklu~uva, vme{uva, vovlekuva, zna~i@
@involved@|@slo`en, spletkan, vrzan, zapletkan@
@involvement@|@nepriliki, problemi (finansiski), slo`enost, vklu~enost, vme{anost, zapletkanost@
@invulnerability@|@cvrstina, neranlivost@
@invulnerable@|@cvrst, neranliv, nesoborliv@
@inward@|@duhoven, svrten navnatre, umstven, vnatre{en@
@inwardness@|@duhovnost@
@inwards@|@duhovno, na vnatre, vnatre{no@
@inwrought@|@istkaen, izraboten, vmetnat, vtkaen@
@iodine@|@jod@
@iodize@|@stava ili dodava jod@
@ion@|@jon@
@Ionic@|@jonski (stil stolb)@
@ionization@|@jonizacija@
@ionosphere@|@jonosfera@
@iota@|@jota, tro{ka@
@iota of@|@ni tro{ka@
@iron band@|@banda`, obra~ od bure@
@irreligious@|@bezbo`en, nereligiozen@
@irremediable@|@neizle~iv, nenadomestliv, nepopravliv@
@irremovable@|@nemenliv, neotstranliv (od funkcija), postojan@
@irreparable@|@nenadomestiv, nepopravliv@
@irreplaceable@|@nezamenliv@
@irrepressible@|@neskrotliv, nezadr`liv, nezapirliv@
@irreproachable@|@besprekoren@
@irresistible@|@nezadr`liv, nezapirliv@
@irresolute@|@kolebliv, neodlu~en, nere{itelen@
@irresolution@|@koleblivost, neodlu~nost@
@irrespective@|@nezavisen@
@irrespective of@|@bez ogled na, nezavisno od@
@irresponsibility@|@neodgovornost@
@irresponsible@|@neodgovoren@
@irretrievable@|@nenadomestliv, nepopravliv, nepovraten@
@irreverence@|@bezbo`ni{tvo@
@irreverent@|@bezbo`ni~ki@
@irreveresible@|@neotpovikliv, nepovraten, nepromenliv@
@irrevocable@|@kone~en, neizmenliv, neotpovikliv@
@irrigate@|@navodnuva, poliva, promiva (lit), vadi@
@irrigation@|@irigacija, navodnuvawe, polivawe@
@irritability@|@izbuvlivost, nadrazlivost, razdrazlivost@
@irritable@|@izbuvliv, nadrazliv, razdrazliv@
@irritant (adj)@|@razdraznuva~ki@
@irritant (n)@|@nadraznuva~ko sredstvo@
@irritate@|@drazni, iritira, nalutuva, nervira, razdraznuva, stimulira (lit), vospaluva (ko`a)@
@irritation@|@lutina, nadraznuvawe, razdraznetost, stimulacija@
@irritation 1@|@alergija, jade`@
@irruption@|@izliv (vo), navala, upad (vo)@
@Islam@|@islam@
@islamic@|@islamski@
@island@|@ostrov@
@islander@|@ostrovjanin@
@isle@|@ostrov@
@islet@|@ostrov~e@
@isobar@|@izobar@
@isolate@|@dr`i vo karantin, izolira, odvojuva@
@isolate 1@|@izdvojuva (nekoja materija)@
@isolated@|@osamen@
@isolation@|@izdvojuvawe, izolacija, karantin, osamenost@
@isolationism@|@izolacionizam@
@isolationist@|@izolacionist@
@isosceles@|@ramnostran@
@isosceles triangle@|@ramnostran triagolnik@
@isotherm@|@izoterm@
@isotope@|@izotop@
@Israeli Israelis (pl)@|@Izraelec, Izraelka, izraelski@
@Israelite@|@Izraelitski@
@issue@|@istekuvawe, izdanie, izdavawe broj, izleguvawe@
@issue (v)@|@objavuva, podeluva, publikuva, razdeluva@
@issue (vt)@|@izdava (naredba soop{tenie), proizleguva (od)@
@issue 1@|@ishod, pra{awe (sporno), rezultat, tema@
@issue 2@|@izdanok, potomok@
@issue forth@|@istekuva, izleguva@
@isthmus@|@prevlaka@
@it@|@ona, taa, toa, toa (`ivotno predmet), toj@
@it (n)@|@glaven (vo detski igri)@
@it (sl)@|@seksapil@
@it behove you to@|@dol`en si da@
@it bodes one no good@|@ne mu se pi{uva dobro, ne odi na dobro@
@it boots not to@|@ne vredi da se@
@it is in the bag@|@sosem sigurno storeno@
@it little boots to@|@malku vredi da se@
@it pisses@|@istura do`d@
@it rains@|@vrne@
@it seems as if@|@se ~ini kako da@
@Italian@|@Italijanec, Italijanka, italijanski (jazik)@
@Italian (adj)@|@italijanski@
@italic@|@kurziven@
@italicize italicise@|@upotrebuva kurziv@
@italics@|@kurziv@
@itch@|@`elba, ~e{awe, jade`, kopne`@
@itch (v)@|@go ~e{a, gori od `elba, jade, kopnee po@
@itchiness@|@~e{awe, jade`@
@itchy@|@jade, koj ~e{a@
@itchy feet@|@saka da skita@
@item@|@broj, poedinost, predmet, stavka, to~ka, vest@
@item (adv)@|@ponatamu (pri nabrojuvawe)@
@item 1@|@tema (vo vesnik)@
@itemize itemise@|@nabrojuva, specificira@
@iterate@|@povtoruva@
@iteration@|@povtoruvawe@
@itinerant@|@patuva~ki@
@itinerary@|@itinerar, plan na patuvawe@
@its@|@negov, svoj@
@its anybody's guess@|@nikoj ne znae so sigurnost@
@its no good@|@ne vredi, ne zaslu`uva@
@ivory@|@predmeti od slonova koska, slonova koska (boja)@
@ivory (adj)@|@od slonova koska, so boja na slonova koska@
@ivory tower@|@bajka, carstvo na me~tite@
@ivy@|@br{len@
@jab@|@bode, bodina, mava, mavnuva, potisnuva, proboduva, rie, se zaboduva, se zariva, turka, udira@
@jab (n)@|@bode` (nenadeen), udar (direkten so raka)@
@jab (n) coll@|@injekcija@
@jabber@|@babotewe, baboti, brborewe, brbori, lomoti@
@jabberer@|@drdorko@
@jack@|@{tuka mlada, ~ekrek, ~ovek od narodot, brodsko zname, lost, ma`jak (kaj `ivotni), magarica, makara, mornar, nogarki (za drva se~ewe), priklu~nica, priprost, ra`en, ra~na digalka (za auto), sluga, xandar (vo karti), xek@
@jack (Am) coll@|@Magare@
@jack boot@|@~izmi visoki kowi~ki@
@Jack Frost@|@baba zima, Dedo Mraz@
@jack hammer@|@~ekan pnevmatski@
@jack in@|@napu{ta, se otka`uva@
@jack knife@|@no` golem xepen@
@jack of all trades@|@majstor za se, seznajko@
@jack tar@|@mornar, morski volk (Br arh)@
@jack up@|@podignuva (so digalka), podignuva cena@
@jack up (coll)@|@igra majtap, se majtapi@
@jackal@|@~akal, argat (fig), pomo{en rabotnik (fig)@
@jackass@|@glup~o, magare (arh sleng)@
@jacket@|@lu{pa (od kompir), sako, xaket, za{titna obvivka@
@jacket (v)@|@lupi (razg), oblo`uva, obvitkuva@
@jacket 1@|@obloga, za{titna korica (na kniga)@
@jackpot@|@glavna dobivka, premija, vlog (vo poker)@
@jackrabbit@|@zajak div severnoamerikanski@
@Jacobin@|@ekstremist, jakobinec, radikal@
@Jacobinism@|@ekstremnost, jakobinizam@
@Jacobite@|@Jakubit@
@jade@|@`ena (prosta), `enska, dooden kow, kranta@
@jade (v)@|@iscrpuva, izma~uva@
@jade 1@|@`ad, so boja na `ad@
@jaded@|@isto{ten, izma~en@
@jag@|@{ilec, skinato (na ali{ta), trn, zabec@
@jag (col)@|@pijan~ewe, pijanka@
@jag (v)@|@nazabuva, pravi zapci, razderuva@
@jagged jaggy@|@{ilest, nazaben, zap~en@
@jaguar@|@jaguar@
@jalopy@|@krntija@
@jam@|@mete`, turkanica, za~epuvawe, zaglavuvawe, zastoj@
@jam (fig)@|@ka{a, neprilika@
@jam (n)@|@marmalad, pekmez@
@jam (v)@|@blokira (radio), nabiva, pritiska, se zaglavuva, turka, za~epuva, zabiva, zapnuva@
@jam jar@|@tegla so pekmez@
@jam packed@|@igla nema kade da padne, prepoln@
@jam session@|@xem se{n, xez improvizacii, xez koncert@
@jambo@|@golem, ogromen, slon (fig)@
@jambo jet@|@xambo xet@
@jammy@|@lesen (ispit), podma~kan@
@Jank(ee)@|@Amerikanec, Jenki, Severwak (Amerikanec)@
@jasmine@|@jasmin@
@jasper@|@jaspis@
@jeremiad@|@`alopojka@
@jiffy (col)@|@~as, mig, moment@
@jigsaw puzzle@|@redewe nepravilni formi (igra)@
@join forces@|@se zdru`uva so@
@join in marriage@|@ven~ava@
@join issue@|@vleguva vo raspravija@
@join the army@|@odi vo vojska@
@joint stock bank@|@akcionerska banka@
@jugular@|@vraten@
@jugular vein@|@vratna `ila@
@julep@|@julep (pijalak)@
@July@|@juli@
@jump to conclusion@|@doa|a do neobmislen zaklu~ok, prebrzuva@
@June@|@juni@
@jungle@|@pra{uma, xungla@
@jungle (fig)@|@mete`, nered, zbrka@
@juniper@|@borovinka, smreka@
@kaffir kafir@|@Afrikanec (vo Ju`na Afrika)@
@kaftan@|@kaftan@
@kail@|@pari (sl), tutkal@
@kale (kail)@|@kel, pari (Am sl), tutkal@
@kaleidoscope@|@kaleidoskop@
@kaleidoscopically@|@{to se menuva brzo, kaleidoskopski@
@kampong@|@selo (vo Malezija), zagradeno dvorno mesto@
@kangaroo@|@kengur@
@kangaroo court@|@neoficijalen (prijatelski) sud@
@kaolin@|@kaolin@
@kapok@|@kapok@
@karat@|@karat@
@karate@|@karate@
@katydid@|@skakulec (amerikanski)@
@kayak@|@kajak@
@kazoo (pl kazoos)@|@detska svirka, svir~e@
@kebab kebob@|@{i{kebap@
@kedgeree@|@rizoto so riba@
@keel@|@{leper, kobilica (od brod), tovaren brod@
@keel over@|@se prevrtuva, tone (brodot)@
@keelhaul@|@strogo kaznuva, ukoruva@
@keen@|@{ilest, ostar (no` pogled)@
@keen (fig)@|@`estok, dlabok (~uvstvo razum)@
@keen 1@|@odu{even, prodlabo~en@
@keen as mustard@|@silno odu{even@
@keen edged@|@so ostri rabovi@
@keen on sb@|@saka nekogo@
@keen prices@|@konkurentski ceni@
@keen set@|@`elen (za), kopnee (po)@
@keen sighted@|@so ostar vid@
@keenness@|@golema `elba, gor~ina, ostrina, ostroumnost@
@keenness 1@|@prefinetost@
@keep (lose ones) balance@|@odr`uva (gubi) ramnote`a@
@keep (pt pp kept)@|@dr`i, odr`uva, prodol`uva, zadr`uva@
@keep (v)@|@ostanuva (pri), prodol`uva, se zadr`uva (na)@
@keep (vi)@|@ne se rasipuva, stoi@
@keep 1@|@{titi, ~uva, brani, po~ituva (zakoni tradicija)@
@keep 2@|@izdr`uva, prehranuva (semejestvo), se gri`i za@
@keep 3@|@odgleduva (stoka)@
@keep 4@|@upravuva (biznis)@
@keep a book on@|@sobira oblozi za@
@keep a diary@|@vodi dnevnik@
@keep a secret@|@~uva tajna@
@keep abreast of@|@odr`uva ~ekor so@
@keep afloat@|@sostavuva kraj so kraj@
@keep an account@|@vodi evidencija@
@keep an appointment@|@doa|a na zaka`an sostanok@
@keep at arm's length@|@dr`i na rastojanie@
@keep body and soul alive@|@nekako se prehranuva, pre`ivuva@
@keep clear@|@ne se me{a (vo), stoi na strana@
@keep company@|@pravi dru{tvo@
@keep cool@|@ladnokrven, ostanuva miren@
@keep dark@|@se dr`i vo tajnost, se krie@
@keep friends@|@drugaruva, vo prijatelski odnosi e@
@keep going@|@pomaga da opstane, se odr`uva@
@keep good hours@|@legnuva stanuva rano@
@keep hold@|@cvrsto dr`i, ne ispu{ta@
@keep house@|@vodi doma}instvo@
@keep house (hotel)@|@vodi doma}instvo (hotel)@
@keep in mind@|@ne zaborava, se se}ava@
@keep in touch@|@ima kontakti, vo vrska e@
@keep late hours@|@legnuva stanuva docna@
@keep left (right)@|@se dvi`i na levo (desno)@
@keep mum@|@mol~i, molk!, pst!@
@keep one's temper@|@ostanuva miren, se kontrolira, se vozdr`uva@
@keep oneself to oneself@|@mol~i, ne deli so nikogo, ostanuva svoj, sokriva@
@keep open house@|@gostoqubiv e@
@keep sb at bay@|@dr`i nekogo na otstojanie@
@keep sb dangling@|@dr`i nekogo vo neizvesnost@
@keep silent@|@mol~i, zamol~uva@
@keep under control@|@stava pod kontrola, upravuva so@
@kerb curb@|@trotoar@
@kerbstone@|@ivi~nik (od trotoar)@
@kernel@|@jatka (od orev), zrno (vo lu{pa)@
@kernel (fig)@|@jadro, sr`@
@kerosene@|@kerozin, parafinsko maslo@
@kestrel@|@vid na sokol@
@ketch@|@brod mal (so dva jarbola)@
@ketchup ketsup@|@domateno pire, ke~ap, salca@
@kettle@|@~ajnik, kotle@
@kettle drum@|@timpanon@
@khaki@|@kaki (boja), vojni~ko platno (vo kaki boja)@
@Khem@|@Egipet@
@kibbutz@|@kooperativa (vo Izrael), naselba, selo@
@Kid@|@Dete@
@kidnap@|@kidnapira@
@kidnapper@|@grabnuva~, kidnaper@
@kidney@|@bubreg@
@kidney (fig)@|@soj, sorta, temperament, vrsta@
@kidney bean@|@bob, edar grav@
@kike@|@Evrein@
@killer disease@|@smrtonosna bolest@
@killer whale@|@kit-ubiec, orka@
@killjoy@|@rasipuva~ na zabavi@
@kiln@|@fabri~ka (golema) pe~ka@
@kilowatt@|@kilovat@
@kimono@|@kimono@
@kindergarten@|@detska gradinka@
@kind-hearted@|@dobrodu{en, dobronameren@
@kind-heartedly@|@dobrodu{no, dobronamerno@
@kind-heartedness@|@dobrina@
@kindle@|@pottiknuva (nade` strast), probuduva, se potpaluva, zapaluva@
@kindling@|@drvca (za potpaluvawe)@
@kindly@|@ne`no, qubezno (nudi), vnimatelno@
@kindness@|@dobrina, dobro delo@
@kindness itself@|@zlato ~ovek@
@kindred@|@roda, rodbina, sli~en, sroden (jazik pleme), srodstvo, vo srodstvo@
@kindred spirit@|@srodna du{a@
@kinematic@|@kinemati~ki@
@kinematics@|@kinematika@
@kinesics@|@kinetika@
@kinesiology@|@kineziologija@
@kinesis@|@kineza@
@kinetic@|@kineti~ki@
@kinetic art@|@kineti~ka umetnost@
@kinetic energy@|@kineti~ka energija@
@kinetically@|@kineti~ki@
@King's Bench Division@|@vi{ sud na pravdata@
@knee pan@|@~a{ka (na koleno)@
@Knife@|@No`@
@knife (pl knives)@|@No`@
@knife (v)@|@bode, proboduva (so no`), se~e@
@knife-edge@|@se~ivo od no`@
@knight@|@borec, kavaler, lovec (vo {ah), ricar@
@Knight@|@Vitez@
@knight (v)@|@proglasuva za vitez@
@knight errant@|@vitez talka~@
@knight-errant@|@vitez skitnik@
@knighthood@|@vite{ki red, vite{tvo@
@knightly@|@galanten, kavalerski, velikodu{en, vite{ki@
@knock the bottom out of sth@|@gi razni{uva temelite od ne{to@
@knoll@|@brek~e, rit~e@
@knot@|@~atal, grupa (lu|e), jazol, klup~e, koleno (na steblo), morska milja, muskul (zdrven istegnat), povrzanost@
@knot (fig)@|@problem, te{kotija@
@knot (v)@|@se zamrsuva, se zapletuva, vrzuva vo jazol@
@knotgrass@|@korov, pirej, troskot@
@knotty@|@poln so jazli (~atali)@
@knotty (fig)@|@komplikuvan, slo`en, zamrsen, zapleten@
@knout@|@kam{ik@
@know@|@ima slu{nato, poznava, prepoznava, razlikuva@
@know a royal road@|@znae lesen na~in@
@know knew known@|@ima iskustvo, se razbira, znae@
@know one's mind@|@znae {to saka@
@know sth backwards@|@poznava ne{to sosema dobro@
@know-all@|@{to znae se, seznajko@
@know-how@|@iskustvo, prakti~no znaewe@
@knowing (adj)@|@bistar, inteligenten, pameten, seten@
@knowingly@|@so namera, svesno@
@knowledge@|@iskustvo, poznavawe, znaewe@
@knowledge 1@|@glas, izvestuvawe, vest@
@knowledgeable@|@{to poseduva znaewe, dobro informiran@
@known@|@popularen, poznat@
@known as@|@go znaat kako, poznat kako@
@know-nothing@|@{to ne znae ni{to, neznajko@
@knuckle@|@zglob (na prst)@
@knuckle down@|@popu{ta, se pokoruva, se zafa}a za@
@knuckle duster@|@alka-bokser, prsten-bokser@
@knuckle under@|@priznava poraz, se pokoruva@
@koala@|@koala@
@kohl@|@crna senka (za o~i)@
@kohlrabi@|@keleraba@
@kolkhoz@|@kolhoz@
@kopeck@|@kopejka (stoti del od rubqa)@
@Koran@|@Koran@
@Koranic@|@koranski (u~ewa zakoni)@
@kosher@|@~ist, ispraven@
@kosher 1@|@ko{er@
@kowtow@|@dlaboko se poklonuva, se pokoruva@
@kowtow (n)@|@dlabok poklon, dlaboka po~it@
@kraal@|@ograda, trlo@
@krill@|@vid {kolka@
@kudos@|@~est, blagodarnost za, slava@
@kukri@|@anxar (vo Nepal), kama, no` (vo Nepal)@
@kumis@|@kumis@
@kumquat@|@kumkvat (ovo{ka)@
@kvass@|@kvas@
@kwela@|@kvela (muzika igra)@
@kymograph@|@kimograf@
@kymographic@|@kimografski@
@kyphiosis@|@kifoza (grbavost)@
@Kyrgyz@|@kirgiski, Kirgiziec, Kirgizijka@
@Kyrgyzstan@|@Kirgistan, Kirgizija@
@Kyrie eleison@|@Gospodi pomiluj@
@label@|@dava ime, etiketa, etiketira, natpis, obele`uva@
@labia@|@usni (od vulva)@
@labial@|@labijalen (soglaska), usnen@
@labile (chem)@|@nestabilen@
@labiodental@|@labiodental, labiodentalen (glas)@
@labionasal@|@labionazalen@
@labiovelar@|@labiovelaren@
@labium (labia pl)@|@usna (na vulva)@
@laboratory assistant@|@laborant@
@laboratory lab@|@laboratorija@
@laboriousness@|@trud, vrednotija@
@laborius@|@naporen, te`ok (stil), vreden@
@labour (v)@|@obrabotuva, pati, raboti, se trudi, strada@
@Labour Day@|@Den na trudot@
@labour exchange@|@biro za vrabotuvawe@
@labour labor@|@maka, rabota, rabotna raka, trud@
@labour market@|@berza na rabotna raka@
@labour of love@|@rabota storena so qubov@
@Labour Party@|@laburisti~ka partija@
@labour union@|@sindikat@
@laboured@|@ote`nat (di{ewe), te`ok (stil)@
@labourer@|@manuelen rabotnik@
@labourite@|@laburist@
@labyrinth@|@lavirint@
@labyrinthine@|@lavirintski@
@lace@|@{irit, gajtan, tantela, vrvca@
@lace (v)@|@napa|a, provira (gajtan), se vrzuva, tepa@
@lace 1 (v)@|@me{a (kafe ~aj)@
@lace pillow@|@perni~e za pletewe tantela@
@lacerate@|@raskinuva, rastrgnuva, razdrpuva@
@laceration@|@kinewe, rana, rastrgnuvawe@
@lachrymal@|@solzen (kanal)@
@lachrymose@|@pla~liv@
@lack@|@fali, ima potreba od, nedostiga, nema@
@lack (n)@|@nedostig, nemawe, otsustvo@
@lackadaisical@|@bezvolen, ne}eflija, nezainteresiran@
@lackey@|@lakej@
@lacking@|@{to fali, otsuten, potreben@
@lacklustre lackluster@|@bez sjaj (oko), zamaten@
@laconic laconical laconically@|@lakonski@
@laconicism laconism@|@lakonizam, lakonski izraz, lakonstvo@
@lacquer@|@lak, lakira@
@lacrosse@|@lakros (sportska igra)@
@lactic@|@mle~en@
@lactic acid@|@mle~na kiselina@
@lacuna lacunae (pl)@|@praznina@
@lacy@|@so tantela, tantelen@
@lad@|@Dete, mom~e@
@ladder@|@kotelec ispu{ten, merdiven, skala@
@ladder (v)@|@se pu{ta kotelec@
@laddie laddy (Scot)@|@Dete, mom~e@
@lady@|@dama, gospo|a, ledi@
@lag behind@|@zaostanuva@
@lager@|@vid belo pivo@
@lagoon@|@laguna, liman@
@laird@|@zemjoposednik@
@lakh (hind)@|@100 000@
@lam�@|@lame@
@lama@|@budisti~ki kalu|er, lama@
@lamb@|@jagne, jagne{ko@
@lamb (v)@|@se objagnuva@
@lambast(e)@|@napa|a, tepa@
@lambency@|@blesok, duhovitost, plam@
@lambent@|@bleskav, duhovit, rasplamten@
@lambkin@|@jagne cical~e@
@lamblike@|@krotok kako jagne@
@lambskin@|@jagne{ka ko`a@
@lamp@|@lamba, svetilka@
@lamp black@|@crnila (na lamba), sa|i@
@lamp light@|@svetlost od lamba@
@lamp lighter@|@~ovek {to pali uli~ni svetilki@
@lamppost@|@bandera, stolb od uli~na svetilka@
@lampshade@|@aba`ur@
@lance@|@kopje@
@lance (v)@|@rase~uva@
@lance corporal@|@kaplar@
@lancer@|@kowanik@
@lancers@|@angliski tanc@
@lancet@|@lanceta@
@land@|@imot, kopno, teritorija, tlo, zemja, zemji{te@
@land (v sl)@|@dobiva, smestuva, udira, zalepuva ({lakanica)@
@land (v)@|@aterira, prizemjuva, se spu{ta, sletuva@
@land (vi)@|@pristanuva, pristignuva, se najduva, stignuva@
@land agent 1@|@upravitel na imot@
@land forces@|@kopneni edinici@
@land lubber@|@~ovek nenaviknat na more@
@land oneself in@|@doveduva sebesi vo (neprilika)@
@landed@|@zemjoposedni~ki, zemjosopstveni~ki@
@landed 1@|@{to se sostoi od zemja, vo zemja (imot)@
@landfall@|@pristignuvawe na kopno@
@landholder@|@zemjodelec, zemjoposednik@
@landing@|@aterirawe, pristignuvawe, prizemjuvawe, sletuvawe@
@landing 1@|@odmori{te na skali, plo{tatka@
@landing field@|@pista@
@landing gear 1@|@trkala (avion)@
@landing strip@|@pista, poleti{te (sleti{te)@
@landlady@|@gazdarica, stopanka@
@landless@|@bez zemja@
@landlocked@|@opkolen so kopno@
@landlord@|@gazda, gostilni~ar, stopan@
@landmark@|@beleg, grani~nik, me|nik, patokaz, znak@
