@English@|@Laotian (romanized)@
@natural ability@|@sá mard tha vi say@
@natural beauty@|@ngam tham ma sat@
@natural child@|@lù:k xou@
@natural creation@|@tham ma thi ti@
@natural law@|@kot tham ma da, kot tham ma da@
@natural receptacle or reservoir for water@|@xa ta sa@
@natural resources@|@xap pha chon, xap pha ya kon, xap tham ma xat, xap tham ma xat@
@natural spring@|@sâ:ng chan@
@naturalism@|@lāt thi ni nyom tham ma xard@
@naturalist@|@nāk tham ma xard vi tha nhar@
@naturally curly hair@|@phom khut tham ma xat@
@nature@|@sá phá: va, tham ma da lok, tham ma sat, vi say@
@nature of an obligation@|@sá phá:p haeng ni:@
@nature of an ohligation@|@sá phá:p bung khap@
@nature studies@|@vi tha nya: karn@
@naughty@|@bork yak, thoy@
@nauseous@|@sá laeng@
@Naval Academy@|@hong hian nay heu@
@naval attache@|@thut tha han heu, thut tha han nam@
@naval cadet@|@nāk hieng nai heu@
@naval escort@|@kha buan heu@
@navel@|@beu@
@navigate@|@dern heu@
@navigator@|@khon dern heua@
@navy@|@kong heu, kong thab heu, kong thab nam, ná: var, ná: vi:, sĕ: nar thi karn tha harn heua, tha han heu, thap heu@
@navy blue@|@si: far tha lei, si: kom ma thar, si: mork, si: mork@
@near@|@chim, chor, kay, kay khao ma, kay kheing, khang khang, mor mor ni, sá mi: pa, să: mon, thaep, xor lor, yu kay@
@near almost only fully@|@khae@
@near at hand@|@kay meu@
@near sighted@|@ta phang@
@near to crying@|@thaep hong hay@
@nearly@|@horm, keup, keup kham@
@nearly at the end@|@ton pai@
@nearly blind@|@ta mua@
@nearly complete@|@kay cha som lat leow@
@nearly everywhere@|@keup thao phai@
@nearly grown girl@|@să:o harm@
@nearly ready@|@kay cha som lat leow@
@nearness@|@kan khao ma kai@
@nearsighted@|@să:y tar san@
@neat@|@xa laep@
@neatness@|@khuem chop ngam@
@necessary@|@cham bpan, cham phan kae@
@necessities@|@sīng cham pen@
@necessities of life@|@sīng cham pen nay xi: vid@
@necessity@|@khon cham phen, khuem cham pen@
@neck@|@kan khor, khaw@
@necklace@|@kong khor, pork khor, pork khor, să:y soy khor, soy khor@
@necktie@|@ka ra vat, pha mat khor, pha phuk khor@
@necrology@|@khao mor la na kam, lá:y karn mor ra na xum@
@nectar of flowers@|@nguan@
@need@|@á thi thă:n, kan at ta khap nyang nying, khuem tong kan, tong kan@
@needle@|@khem, sŭ: chi@
@needle for knitting@|@khem thak@
@needle leech@|@pi:ng khem@
@Needy@|@hay xap@
@Nefarious day@|@meu lang@
@nefarious news@|@khao a ku son@
@nefarious to country@|@phae ban phae meung@
@nefarious to husband@|@phae phua@
@nefarious to wife@|@phae mia@
@negative imperative@|@chong nya phan, kor nya@
@negative imperative: do not@|@yā su@
@neglect@|@du day, perk, pherk, pong thu ra, pory pa la lery@
@neglect one’s duty@|@thim na thi, thim na thi@
@Neglected@|@heu@
@neglected ricefield@|@ná: hang@
@negligence@|@khuem pa mar@
@negligent@|@ler xer@
@negligently@|@ka phua ka phat@
@negotiate@|@chae ra cha@
@negotiation@|@chae ra cha, chae ra cha ha ler@
@Negrito tribe@|@ngo@
@Negro@|@khaek dam, khaek ka la dam@
@Negro race@|@xard khek dam@
@neigh@|@sĭa:ng mar haem@
@neighbor@|@khon kai khing, pheun ban, pheun ban kai khiang, pheun kia khiang, xao ban@
@neighborhood@|@pheun ban huam xat, pheun huam ban@
@neighboring@|@kay kheing, thi yu kiang kan@
@neighbors@|@bor li phan, bor li xon@
@neightor@|@pheun khang ban@
@neither good nor bad possible@|@phor dee phor hay@
@neither super@|@á nū xard@
@neither to win nor to lose@|@bor dia siay@
@nemely@|@khi wa@
@nephew@|@lù:k larn, nāt dar, pha khi nay, pha ti ya@
@nephritis@|@tay phi kan@
@nepotism@|@mu kho lo ka na@
@Neptune@|@dao pha kaet, dao pha kaet, pha sa mut@
@nerable@|@kam pheng kha nyaeng@
@neranged@|@deut dan@
@nerve@|@pá sard, pá sard houb, sên en, sên pa sard@
@nerve fiber@|@sên@
@nervous@|@pá sard phi karn@
@nest@|@hang@
@nest wasp@|@tor hang@
@nestle a child@|@kok luk@
@net@|@ta he, tay to@
@net for catching birds or bats@|@kha nap@
@net of ramie@|@nā:ng@
@net used for hunting rabbits or birds@|@kaeng@
@Netherland@|@pá theid taung@
@neuter@|@á ling@
@neuter gender@|@ta ti ya phok ka ti@
@neutral@|@bor khao khang khao kha, kang@
@neutral gender@|@nā poung sa ka ling, phet kang@
@neutralise@|@bam bat@
@neutrality@|@khuem pen kang, pen kang@
@never@|@bor chak theu, bor khery@
@never even once@|@sák theua@
@never mind@|@bor pen yang, kor tam, yā laev@
@nevertheless@|@kor nyang dai kor dee, kor zang, lon var, therng cha mi, therng dang nan kor di, therng yang day kor tam, yang dai kor tam@
@new@|@nā va@
@new born child@|@dek kert may, dek kert may@
@new car@|@lōt mai@
@new city@|@meung may@
@new man new people@|@khon mai, khon mai@
@new moon@|@deuan ork mai@
@new rank@|@nā va ka phoum@
@new rice@|@khao mai@
@new Richfield@|@ná: xao@
@new year@|@pi may@
@New Year festival@|@bun pi may@
@New Year vacation@|@tut song kan@
@New Year’s festival@|@bun kha ra va@
@New Year's Day@|@săng kharn@
@New Year's Day festival@|@ván boun pi mai@
@New Year's Eve@|@nao@
@New Years greetings@|@kham uay phon bpi mai@
@New York@|@ni:v york@
@new(about someone)@|@khao khang@
@newborn child@|@dek deng@
@newcomer@|@nā va ka, phu tang na@
@newly arrived@|@ma may@
@newlyweds@|@khu bao sao@
@news@|@khao, khao san, pá vad@
@news agency@|@săm nao ngan seu khao, săm nao ngan tha laeng khao@
@news correspondence office@|@săm nao seu khao@
@news on the cover@|@khao na phok@
@news papers man@|@nāk nung seu phim@
@news release@|@khao san@
@newspaper@|@chot may hed, chot may hed, nang su phim@
@newspaperman@|@nāk seu khao@
@next@|@pá karn tor pay@
@next day@|@ván nar@
@Next in order@|@horng long@
@next month@|@deuan na@
@next time@|@bat na, khang na, khang na, theu na, theu na theu nay, tor na, xuang nar, xuang nar@
@next to@|@chim, tor kan@
@next to one’s hand@|@kay yu kay meu@
@next world@|@săm pa rar nhi kha phob, săm pa rar nhi kha phob@
@next year@|@pi nar@
@Nhommarath@|@nyom ma rat@
@Nhuan@|@thay yuan@
@nib@|@pay pak ka@
@nibble@|@lem@
@nice@|@á phi rarm, dee, mu thu, sá la sá loay, sá la sá loay, sá ngar narm, sá sŭa:y, sŭa:y ngam@
@nice and cool@|@yen dee@
@nice looking@|@pen ta xom@
@nicj@|@ban@
@nickel@|@thong khao@
@nicotine stain@|@xi kok ya, xi ya@
@niece@|@pha khi nay@
@nielloware@|@kheuang thom@
@night@|@da ra phu sa, kang khern, kang khern, lá: ti:, meu kheun, nyam kham, ra ti:@
@night at night@|@kham@
@night before last@|@kheun van ni, meu kheun van ni@
@night ceremony@|@ngan ra ti@
@night gathering for child birth@|@ngan kam@
@night lamp@|@phang yam@
@night time@|@nī sar, vé: lá: kang kheun@
@night to give beck@|@kheun@
@nightfall@|@kham long, kham meud, meut leow, nī sar thi@
@nightfall night time@|@kham meu@
@nightjar@|@nork ka bar@
@nightmare@|@fan hay@
@night-prowlers@|@nī sar chon@
@nighttime@|@sŏn tha nhar rar ti:@
@night-time@|@kang khern@
@nimble@|@pá peiw, xi la@
@nimbus@|@mek phon@
@nincio@|@sá ma na thoud@
@nine@|@nā va, nao va@
@nine (9)@|@kao, lè:k kao@
@nine-karat gold@|@nōp pha khoun@
@nine-tiered umbrella@|@nōp pa don@
@Ninety (90)@|@lè:k kao seub@
@ninety-six 96@|@săn na voud 96@
@ninth year@|@pi vork@
@nip@|@yik@
@nipple@|@khaun nam, khuan nom, vae@
@nirvana@|@á ná: lay, á ná: lay, á nan, meung keo, mok sa, nī ra pharn, săn ti, si va mauk, vi rar kha@
@nit@|@khai hua@
@nmountain@|@si kha reid@
@no@|@bao@
@No@|@mi say, pāy@
@no admittance@|@khao bor day@
@no argument@|@bor me nua vao@
@no clouds@|@chaeng chang phang@
@no danger whatsoever@|@bor me an ta lay yang@
@no discrimination of age or sex@|@bor va ying xay noy hiay@
@no doubt@|@bor song sia@
@no good behaviour@|@á vi nay@
@no interdiction@|@bor ham@
@no liver and heart@|@bor me tap meu bi@
@no longer to exist@|@sîn sa pharp@
@no longest@|@bor don bor nan@
@no match for opponents@|@sû: bor day@
@no matter@|@bor cham, ká tam, kor tam@
@no matter how much is lost@|@sĭa: thor day bor var@
@no matter where@|@br va bon dia@
@no more@|@bor lor@
@no need@|@bor tong kan@
@no need to@|@bor thu la@
@no need to be made@|@bor tong het@
@no objection@|@bor khern@
@no one@|@bor me phia@
@no pain@|@bor chep@
@no parking sign@|@pay ham chot@
@no protector@|@á ná: thar, á ná: thar@
@no stop@|@bor yut@
@no value@|@yang tai tai@
@no water@|@á nū thok@
@noble@|@á ri nha, khun, mom, sá ngar@
@noble family@|@sá koun soung@
@noble person@|@thu@
@noble tittle@|@phia@
@nobleness@|@khun nang@
@noble's son@|@lù:k khoun@
@nocturnal animal@|@sát har kin kang kheun@
@nod@|@sā:y hua, sān hua, xeup@
@nod the head@|@ngeuk hua@
@Nogro@|@ká la dam@
@noise@|@á phi roud, lūa, nán neung, sĭa:ng dung@
@noise from bee flying@|@phong@
@noise of a splash@|@port port@
@noise of tearing paper@|@kuat@
@noisy@|@chiav chao, fot, nán, nī nan, nong nan, sá nan, sá ra pha@
@Noisy@|@ho hae@
@noisy boisterous@|@kheuk kom@
@noisy boisterous blatant@|@kheuk kum@
@nom de plume@|@ná:m park kar@
@nomadic@|@bor me meung, nī rar say@
@nomand@|@pha nae chon@
@nominally@|@tae nai nam@
@nominate@|@sá laeng, sá ner xeu tua taeng tung, sá ner xeu tua taeng tung, tang taeng@
@nomination@|@ná: mar phi thay, ná:m ma kon@
@nominative case@|@kan tu la rok@
@non@|@mi@
@non commissioned officer@|@ná:y sip@
@nonagenarian@|@ná: vou ti ka@
@non-Buddhist monk@|@dia ra thi@
@nonchalance@|@á ná: thon, á ná: thon@
@nonchalant@|@bor hua xa, xang you xang kin@
@none@|@bor me chak@
@non-ferrous@|@xeung bo maen lak, xeung bo maen lak@
@nonfiction@|@să: ra kha di:@
@nonflammable@|@nī rin@
@nonoppression@|@á hing sar@
@nonpareil@|@bor me nae piap@
@nonperishable@|@mi rot bor nao@
@nonqualified@|@á pharp bauk khon@
@nonsense@|@săm phard pa larp, săm phard pa larp@
@Nonsense! Pooh!@|@kham thak thuang@
@nonsensical@|@săm phard pa larp, săm phard pa larp@
@non-stop@|@nak Naen@
@non-venomous copperhead racer snake@|@să: pauk@
@nonvenomous snake@|@ngu phouk bor mi phit@
@nonviolence@|@á hing sar@
@noodle in coconut milk@|@khao lot song@
@noodle shop@|@hong mi@
@noodle soup@|@fer@
@noodles@|@sên mi:, sên mi:@
@noon@|@nyam thieng, phen, suay, ta wen thaing, thiang, thiang van, ton thiang, vé: lá: thieng@
@noon meal@|@ngay@
@noon time@|@mat tha yan, thiv kan@
@noon-time@|@mat san ti ka@
@nor inferior@|@á nū xard@
@normal@|@dee dee, pen pok ka ti, pok ka ti, pok ka ti@
@normal regional winds@|@fà lom@
@normal rice@|@khao chao@
@normal situation@|@sá thă: nā karn pen pok ka ti@
@normal state of being@|@săng kharn tham, săng kharn tham@
@normal voice@|@sĭa:ng pork ka ti@
@normality@|@nid cha karn@
@nornal Buddhist@|@tham ma vat@
@north@|@thang meu@
@North@|@thit neu@
@North Atlantic Treaty Organization@|@ná: to@
@North Bietnam@|@keo meu@
@North East@|@thit e san@
@north of Vientiane@|@váng vieng@
@North Pole@|@khuan lok@
@North Star@|@dao neu, nāk sard ta nei mi:, thu va da ra@
@North Vietnam@|@via:t na:m meua@
@north wind@|@lóm nao neua@
@northerly@|@sĭa:ng neua, sĭa:ng neua@
@northern province of Xamneua@|@xam neua, xam neua@
@northern region@|@phak neu@
@northerner@|@thay meu, xao meu, xao meu@
@northward@|@beung neu, kam neu@
@northwest@|@pha yap@
@nose@|@dang, ná: sar, ná: sek, nāt thou@
@nose cord@|@să:y dung@
@nose cord for a buffalo@|@să:y khao@
@nose cord of a buffalo@|@să:y ta phai@
@nostalgia@|@pha yat kheut hot ban@
@not@|@bao, mi, mi say, pāy@
@not able to@|@bor dia@
@not according to tradition@|@nork hid khong@
@not afraid to die@|@bor kua tay, bor yan tay@
@not alike@|@bor kheu@
@not all@|@bor mot@
@not all right@|@bor chop@
@not any@|@bor chak@
@not applicable@|@á nū pa nhauk@
@not as expected@|@phit khat@
@not as if@|@bor pen dang@
@not at@|@bor yu@
@not at all@|@bor dok@
@not at all easy@|@bor ngay lery@
@not attained yet@|@bor than dia@
@not bad@|@kor nyang phor phai@
@not beautiful@|@bor ngam@
@not born yet@|@nyang bor ker theu@
@not burnt@|@bor mai dia@
@not busy@|@bor kha@
@not clear@|@seum@
@not completely@|@lom lor@
@not dare to@|@bor ka@
@not dare to oppose@|@bor ka khat khan@
@not dead@|@bor tay@
@not deep@|@teun@
@not enough@|@bor phor@
@not enough to act@|@bor phor het@
@not eternal@|@á nīd chá@
@not even@|@bor therng, tua khik@
@not even a little@|@me tae noy@
@not excited@|@bor hon@
@not expensive@|@bor pheng@
@not finished@|@bor leo, bor thong bor therng@
@not firm@|@nyo, nyo nyae@
@not flat@|@tun@
@not give anything@|@bor hia@
@not good@|@bor chop, bor de@
@not good enough@|@dee bor noy@
@not good to eat@|@khao mak yaeng@
@not have enough@|@bor em@
@not heavy@|@bao, nyong nyong, nyong nyong@
@not hot@|@bor hon@
@not important@|@yang tai tai@
@not in@|@bor yu@
@not in custom@|@phit hit kong@
@not in order@|@phit la biab@
@not in rule@|@phit vi nay@
@Not in the least@|@me tae noy@
@not inferior to@|@bor noy na@
@not interfere@|@bor xek xeng@
@not intervene@|@bor xek xeng@
@not Invulnerable@|@bor khong@
@not less than@|@bor lut, bor tam kua va@
@not listen to@|@bor phang siang@
@not little at all@|@bor noy@
@not long@|@bor don@
@not long after@|@bor phor thor dia, tor bor xa, tor na xa bor nan@
@not long before@|@bor phor thor dia@
@not miserly@|@xer@
@not miss the train@|@bor than lot phay@
@not more than@|@yang lay bor kern@
@not new and not very old@|@mang@
@not nice@|@bor ngam, khi her@
@not often@|@bor sa mer@
@not on time@|@bor than@
@not only@|@bor phor phiang tae, bor sa phor, bor tae@
@not only that@|@bor men tae phiang thao nan@
@not only that much@|@yā va tae thao nan@
@not origin@|@xord ka cha@
@not poor@|@nī ra thouk@
@not popular@|@á nīd nhom@
@not quite@|@ham ham@
@not readily apparent@|@ngam lerk@
@not realize@|@bor kert@
@not really to know@|@hu bor ching, hu bor khak@
@not remaining@|@bor leu bor lor@
@not right@|@bor theuk@
@not salted@|@cheut@
@not satiated@|@bor em@
@not smooth@|@khuk@
@not so@|@bor leung meu, borleumeu@
@not so easy@|@bor su ngay@
@not so much@|@bor phor phiang dia, bor thor dia, bor thua dia dok@
@not so very@|@bor thua dia dok@
@not solid@|@phuy@
@not soluble by thought@|@á chin tai@
@not straight@|@nyo, nyo nyae@
@not sure@|@bor ching, bor khak@
@not that way@|@tang hak@
@not the right place@|@bor men bon@
@not thrift@|@xer@
@not to allow@|@bor hay@
@not to answer@|@bor top@
@not to be hulled@|@pen kan@
@not to be oneself@|@bor pen tua khong tua ang@
@not to brake@|@bor ham@
@not to care@|@seui you@
@not to care about@|@bor ngor@
@not to consent@|@bor yom@
@not to dare to@|@bor han@
@not to exist@|@bor hon me@
@not to favour to@|@bor eu@
@not to feel@|@bor khoy@
@not to feel like having@|@bor neuk yak via@
@not to feel like it@|@bor neuk yak@
@not to find@|@xork bo phor@
@not to get along well together@|@bor kin sen kan@
@not to get any smarter@|@bor dia khuam sa lat teum erk lery@
@not to get out@|@bor ork@
@not to get through@|@bor thong@
@not to give@|@bor hay@
@not to have@|@mi mi@
@not to have on hand@|@khat meu@
@not to have said at all@|@bor dia bok chak noy lery@
@not to have time yet@|@pāy than@
@not to know@|@bor hu, bor hu chak, bor thong@
@not to know anything (negative sentence)@|@chak thip chak daen@
@not to know anything about it@|@bor hu bor xu@
@not to know where to put oneself@|@bor me thip xi yu@
@not to like another’s face@|@bor xop na@
@not to like the looks of@|@bor theuk xa ta kan@
@not to lose@|@bor siay@
@not to lose courage@|@bor yor thor@
@not to make sense@|@bor dia khuam@
@not to recognize@|@bor hap hu@
@not to refuse@|@bor heun@
@not to return@|@bor me meu@
@not to say@|@bor vao@
@not to see@|@mong bor hen@
@not to take@|@bor au@
@not to the state@|@sák ka nha ti thi@
@not to understand@|@bor khao chay@
@not to want@|@bor me mak@
@not too good@|@dee yu dok@
@not too inferior@|@phor tua@
@not too much@|@bor thor dia, sá ngao@
@not translated when used at the end of a request sentence@|@phun thern@
@not upright@|@xór@
@not usually@|@bor khery@
@not well@|@chep@
@not withstanding@|@therng cha mi@
@not working@|@feut@
@not worth the day one was born@|@sĭa: xard keud@
@not yet@|@bor than, bor than dia, nyang, nyang bor, nyang bor than ma aok, nyang dok, pāy@
@not yet experienced@|@nyang on@
@not yet finished@|@bor than mot@
@not yet full@|@nyang bor taem theu, nyang bor taem theu@
@not yet noticed@|@bor than sang kaet hen@
@not yet observed@|@bor than sang kaet@
@not yet paid@|@khang sum la@
@not yet ripe@|@nyang on@
@notability@|@phu mi na mi ta@
@notch@|@bak, bak, ban@
@notch or slash a tree@|@bak mai@
@notched@|@bin@
@notclean@|@ka lit@
@note@|@bai cheng khuam, ban theuk, chot, chot, chot ban theuk, chot ban theuk, chot cham, săng keid@
@Note Book@|@Peum khien@
@note down credits to an account@|@chot wai kone@
@noteable@|@thao khun@
@notebook@|@peum, peum khian, peung, phap khian, sá mút, sá mút ban theuk@
@noted@|@kheun seu, leu xeu@
@noted for its celestial vines@|@chit ta ra la da@
@notes for techer’s instruction@|@kham ban ra yay@
@nothing@|@bor me yang, pen bor mi lery@
@nothing at all@|@bor me an dai, bor me yang lery, nyang pen@
@nothing better than@|@bor kva@
@nothing left@|@bor me chak maet, sîa:ng, sîa:ng khor lor, sîa:ng khor lor@
@nothing to say@|@bor me nua vao, vā: nhung kor bor dai, vào nhung kor bor dee@
@nothingness@|@sŭ:n nha pharb, vi pha va@
@notice@|@săng keid hen@
@notification@|@bai pa kat, kan low hai hu, pá kar sid@
@notify@|@bork hot, bork lao hay hu, pá kid, săn thid@
@noun@|@ná:m@
@noun category@|@pá mard@
@noun clause@|@ná:m ma nou pa nhok@
@nourish@|@á nū barn, bam lung, bam lung liang, pha ra@
@nourishment of intants@|@kan liang du@
@novel@|@nā va ni nhai, nang su ni gnay@
@November@|@deuan pha chik, deuan sip at, nó: varm@
@novice@|@á nū pa sam ban, nā va ka, nèn, să:m ma nein, sar ma nein@
@now@|@bat ni, bat ni, diav ni, pá chou ban, pat chu ban ni@
@Now@|@pá rad ta nhou ban@
@now and then@|@bang khang bang khao@
@nowadays@|@này sa may ni:, thuk meu ni@
@nowadyas@|@thuk van ni, thuk van ni@
@nteresting@|@sá nauk@
@nuch@|@līp@
@nuclear@|@ni:v khear@
@nuclear-free@|@port pa ra ma nu@
@nude@|@á chei la, kae chon phiey, kae peuay, peuy, peuy kay@
@nude nun@|@nāk kha phied@
@nudge@|@sá kit, sá kit, thor@
@nudge with the elbow@|@sá kit doay sork@
@null & void@|@mo kha@
@num@|@me si, me si@
@numb@|@meun, meun@
@number@|@cham nuan cham kat, lè:k, lè:k thi:, nàm ber, to lek, tua lek@
@number four@|@cha tu@
@number of items@|@cham nuan@
@number of persons in a family@|@săm ma no@
@number seven ( 7 )@|@chet@
@numeral@|@tua lek@
@Numeral@|@pok ka ti sung kha nhar, pok ka ti sung kha nhar, pok ka ti sung kha nhar, pok ka ti sung kha nhar@
@numerical cipher@|@ák son lek@
