@English@|@Brazilian Portuguese@
@layer@|@camada, estrato, galinha poedeira@
@layette@|@enxoval de bebê@
@laying@|@lançamento@
@laziness@|@ociosidade, preguiça@
@lazy@|@indolente, lerdo, ocioso, preguiçoso@
@LCD (liquid crystal display)@|@LCD (visor de cristal líquido)@
@leaching@|@lixiviação@
@lead@|@chumbo, corrente, guia, liderança@
@lead poisoning@|@envenenamento com chumbo@
@leader@|@condutor, líder@
@leadership@|@liderança@
@leading@|@preeminente, principal@
@leading actor@|@protagonista@
@leading article@|@artigo de fundo@
@leading edge@|@bordo de ataque@
@leading mark@|@marca de orientação@
@leaf@|@folha@
@leafhopper@|@cigarrinha@
@leaflet@|@folículo@
@league@|@légua (1853.18 m - UK), liga (agremiação)@
@leak@|@rombo@
@leakage@|@vazamento@
@leaker (slang)@|@incompetente@
@leaky@|@incontinente, permeável, poroso, tagarela@
@leap@|@pulo, salto@
@leap year@|@ano bissexto@
@learned@|@ciente@
@learning@|@ciência, saber@
@lease@|@locação@
@lease contract@|@contrato de arrendamento, contrato de locação@
@leasehold@|@arrendamento, propriedade arrendada@
@leash@|@correia@
@leasing@|@aluguel, arrendamento, locação@
@least@|@mínimo@
@least upper bound@|@supremo@
@leather@|@couro@
@leather bottle@|@odre@
@leather coat@|@casaco de couro@
@leather jacket@|@jaqueta de couro@
@leather shoes@|@sapato de couro@
@leather skirt@|@saia de couro@
@leather-hard@|@consistência de couro@
@leave@|@autorização, licença@
@leaven@|@fermento@
@lect@|@lecto@
@lector@|@leitor@
@lecture@|@palestra@
@LED (Light Emitting Diode)@|@LED (diodo emissor de luz)@
@ledger@|@livro-razão, razão (contábil)@
@lee (against wind)@|@abrigo@
@leech@|@bicha, parasita, sanguessuga@
@leek@|@alho-poró, salsão@
@lees@|@borra@
@left@|@esquerda@
@left handed@|@canhoto@
@left-handed@|@canhoto@
@leftist@|@esquerdista@
@leftover@|@restante, resto, sobra@
@leg@|@perna@
@leg of mutton piece@|@patinho (corte de carne)@
@legacy@|@legado@
@legal@|@legal, legítimo, lícito, válido@
@legal and corporate action@|@providência legal e societária@
@legal case@|@direito casuístico@
@legal duty@|@direito aduaneiro@
@legal entity@|@pessoa jurídica@
@legal opinion@|@parecer jurídico, parecer legal@
@legal proceeding@|@procedimento legal@
@legal rights@|@direito(s) legal(is)@
@legal tender@|@dinheiro de uso legal, oferta legal@
@legate@|@embaixador, emissário, legado@
@legatee@|@beneficiário, legatário@
@legation@|@legação, missão diplomática@
@legend@|@lenda@
@legendary@|@lendário@
@legerdemain@|@ilusão, truque de mágica@
@legging@|@perneira, polaina@
@leggings@|@legging (calça)@
@legion@|@hoste, legião@
@legionary@|@legionário@
@legitimate@|@justificado, legítimo@
@leisure@|@ócio@
@lemon@|@carro "bichado" (AUS), lésbica (AUS), limão@
@lemon verbena@|@erva-cidreira@
@length@|@comprimento@
@lenient@|@indulgente, leniente@
@lenitive@|@lenitivo@
@lens@|@lente@
@Lent@|@Quaresma@
@lentil (Lens culinaris)@|@lentilha@
@LEO (Lower Earth Orbit)@|@entrar em parafuso (gíria), Órbita Baixa da Terra@
@lepid@|@lépido@
@lesbian@|@lésbica@
@lesbian (slang)@|@bolacha@
@lesbianism@|@lesbianismo@
@lese majesty@|@lesa-majestade@
@less@|@menos@
@lessee@|@arrendatário, locatário@
@lesson@|@classe@
@lessor@|@arrendador, locador@
@let@|@aluguel, obstáculo@
@let alone@|@muito menos, sem falar em@
@lethal@|@fatal, letal@
@letter@|@carta, letra@
@letter of assignment@|@declaração de cessão@
@letter of credit (L/C)@|@carta de crédito@
@letter of indemnity@|@carta de garantia, caução@
@letter of intent@|@protocolo de intenções@
@lettuce@|@alface@
@level@|@nível, plano@
@level loan@|@empréstimo nivelado@
@lever@|@alavanca, pé-de-cabra@
@leverage@|@alavancagem@
@levy@|@imposto, recrutamento@
@levy en masse@|@recrutamento em massa@
@lewd@|@lúbrico@
@lexicographer@|@lexicógrafo@
@lexicography@|@lexicografia@
@lexicon@|@dicionário, léxico@
@liabilities@|@obrigações, passivo (contábil)@
@liability@|@compromisso, obrigação, responsabilidade, ruindade@
@liar@|@mentiroso@
@libel@|@calúnia, libelo, pasquim@
@liberal@|@liberal@
@liberation@|@demissão, liberação, libertação@
@libertarian@|@libertarista@
@libertarian (political)@|@libertário@
@libertarianism@|@libertismo@
@libertarianism (political)@|@libertarismo@
@libertine@|@dissoluto, libertino, licencioso@
@liberty@|@autonomia, liberdade@
@libidinous@|@libidinoso@
@Libra@|@libra (zodíaco)@
@library@|@biblioteca@
@license@|@certificado, licença, patente@
@license plate@|@placa de carro, placa de identificação@
@licentious@|@livre@
@licentiousness@|@libertinagem, licenciosidade@
@lichen@|@líquen@
@lick@|@lambida@
@lid@|@tampa@
@lie@|@configuração, disposição, mentira, posição, truque@
@lie detector@|@detetor de mentiras@
@lien@|@baço, gravame, hipoteca, ônus, penhor, penhora@
@lieutenant@|@tenente@
@life@|@vida@
@life annuity@|@renda vitalícia (seguro)@
@life belt@|@cinto de segurança@
@life buoy@|@bóia salva-vidas@
@life expectancy@|@expectativa de vida@
@life insurance@|@seguro de vida@
@life preserver@|@colete salva-vidas@
@lifeboat@|@bote salva-vidas@
@lifelike@|@natural@
@lifelong@|@por toda a vida, vitalício@
@life-raft@|@bote salva-vidas@
@lifetime@|@a vida toda, vitalício@
@lifework@|@obra de uma vida, trabalho para toda a vida@
@lift@|@elevador@
@lifted up@|@elevado@
@liftman@|@ascensorista, cabineiro@
@ligament@|@ligamento (anatomia)@
@light@|@lâmpada, leve, luz@
@light colonel@|@tenente-coronel (EUA)@
@lightbulb@|@lâmpada elétrica@
@lighter@|@isqueiro@
@lightheartedness@|@despreocupação@
@lighthouse@|@farol@
@lightness@|@leveza@
@lightning@|@clarão, relâmpago@
@lightning-conductor@|@pára-raios@
@lightning-rod@|@pára-raios@
@light-year@|@ano-luz@
@likable@|@agradável, gentil, simpático@
@like@|@à maneira de, parecido, semelhante@
@like a house on fire@|@com muita rapidez, muito bem@
@like blazes@|@rapidamente, velozmente@
@like crazy@|@às pressas, desembestado@
@likehood@|@probabilidade@
@likelihood@|@possibilidade, probabilidade@
@likely@|@crível, esperado, plausível, provável, provavelmente@
@likewise@|@da mesma forma, igualmente, outrossim, também@
@lilac@|@lilás@
@LILO (LInux boot LOader)@|@LILO (carregador do Linux)@
@lily@|@lírio@
@lima bean (Phaseolus limensis)@|@fava-belém, feijão-de-lima@
@limb@|@membro (do corpo), tronco (de árvore)@
@limber@|@flexível@
@lime@|@cal, lima (fruta)@
@limelight@|@holofote, ribalta@
@limestone@|@calcário@
@limit@|@limite@
@limit formula@|@fórmula limite@
@limited liability company@|@companhia limitada@
@limiter@|@limitador@
@limiting@|@limitação, restrição@
@limousine@|@limusine@
@limpid@|@cristalino, límpido@
@linden@|@tília@
@line@|@linha, risca, verso@
@line blend@|@mistura linear, teste linear@
@line of credit@|@linha de crédito@
@line printer@|@impressora de linha@
@lineage@|@casta@
@linear@|@alongado, análogo, linear@
@linen@|@linho, roupa branca@
@liner@|@forro (de tecido), navio de linha regular@
@lines of credit@|@linhas de crédito@
@linguist@|@lingüista@
@linguistics@|@lingüística@
@lining@|@estofamento, forro, revestimento interno@
@link@|@elo, vínculo@
@linkage@|@articulação, conexão, ligação, vínculo@
@linked@|@unido@
@linnet@|@pintarroxo@
@linseed@|@linhaça@
@linseed oil@|@óleo de linhaça@
@lint@|@curativo, emplastro, fiapo (de pano)@
@lion@|@leão@
@lioness@|@leoa@
@lip@|@borda, bordo, lábio@
@lip reading@|@leitura labial@
@liposuction@|@lipoaspiração@
@lipstick@|@batom@
@liquefier@|@liquidificador@
@liqueur@|@licor@
@liquid@|@líquido@
@liquid assets@|@ativo líquido@
@liquidation@|@eliminação, extermínio, liquidação@
@liquidity@|@liquidez@
@liquor@|@bebida destilada@
@lira@|@lira (moeda)@
@Lisbon@|@Lisboa@
@lisp@|@defeito de linguagem@
@list@|@catálogo, costado (navio), lista, rol@
@list price@|@preço de tabela@
@listener@|@ouvidor, ouvinte@
@listening@|@audição, escuta@
@listing@|@listagem@
@literal@|@literal@
@literally@|@literalmente, sem exagero@
@literary@|@literário@
@literature@|@literatura@
@lithe@|@delgado, esbelto@
@Lithuania@|@Lituânia@
@litigant@|@litigante@
@litigation@|@litígio, processo@
@litoral@|@costa, litoral@
@litre@|@litro@
@litter@|@detrito, liteira, maca, manjedoura, ninhada@
@little@|@jovem, pequeno, pouco@
@little black dress@|@pretinho básico@
@little bugger (AUS)@|@fedelho, pé no saco@
@little by little@|@pouco a pouco@
@little house (AUS)@|@banheiro externo, casinha@
@Little Phoebe@|@cinco@
@little store@|@butique, lojinha@
@little terror@|@fedelho, pestinha@
@live@|@aceso, ardente, ativo, eletrificado, vívido, vivo@
@live aid@|@tributo à vida@
@lively@|@cheio de vida, enérgico, vigoroso, vivaz@
@liver@|@fígado@
@livestock@|@gado@
@livid@|@lívido@
@living@|@viver (gerúndio)@
@living it up@|@esbórnia@
@living room@|@sala de estar, sala de visitas@
@lizard@|@lagarto@
@llama@|@lhama@
@lo@|@olhe!, veja!@
@load@|@angústia, carga, fardo@
@load balancing@|@balanceamento de carga@
@loader@|@carregador@
@loading@|@carga, carregamento, sobretaxa@
@loading expenses@|@despesas de carregamento@
@loading port@|@porto de embarque@
@loan@|@empréstimo, estrangeirismo@
@loan sindication@|@empréstimos sindicalizados@
@loath@|@averso, contrário a@
@loathsome@|@nojento, repelente, repulsivo@
@lob@|@devolução (tênis)@
@lobby@|@grupo de interesse (lobby), saguão, vestíbulo@
@lobe (anatomy)@|@lobo@
@lobster@|@lagosta, nota de 20 dólares (AUS)@
@local@|@local@
@local call@|@ligação local@
@location@|@externa (filmagem), local, localização, posição@
@location stop@|@batente guia@
@lock@|@fechadura@
@locker@|@armário, baú@
@locker room@|@vestiário@
@lockout@|@greve de patrões@
@locksmith@|@serralheiro@
@locksmith (person)@|@chaveiro@
@locust@|@gafanhoto@
@locutionary act@|@ato locutório@
@lode@|@filão, veio@
@lodestar@|@estrela guia@
@lodge@|@abrigo, hotel de veraneio, pavilhão, sociedade@
@lodging@|@acamamento, acomodamento@
@lodging-house@|@pousada@
@loft@|@pombal, sótão@
@lofty@|@eminente@
@log@|@diário de bordo, logaritmo, pau, tora, tronco@
@logarithm@|@logaritmo@
@logic@|@lógica@
@logical@|@lógico@
@logically@|@logicamente@
@logician (person)@|@lógico@
@logistics@|@logística@
@loin@|@lombo, quadril@
@loin-cloth@|@tanga@
@London@|@Londres@
@lone@|@só, solitário@
@loneliness@|@solidão@
@lonely@|@só, solitário, sozinho@
@long@|@longo@
@long ago@|@há muito tempo@
@long before@|@muito tempo antes@
@long distance call@|@chamada interurbana@
@long lasting@|@diuturno@
@long skirt@|@saia comprida, saia longa@
@long sleeve@|@manga comprida, manga longa@
@long ton@|@tonelada inglesa (1016 Kg)@
@long ton (L.t.)@|@tonelada longa (1016 Kg)@
@long-distance call@|@chamada interurbana, ligação interurbana@
@longer@|@mais longo, por mais tempo@
@longevity@|@longevidade@
@longing@|@saudade, saudoso@
@longsighted@|@hipermetrope@
@long-term@|@com vencimento a longo prazo, de longo prazo@
@long-term assets@|@realizável a longo prazo@
@long-term liabilities@|@exigível a longo prazo@
@long-winded@|@prolixo@
@look@|@aparência, aspecto, olhar, semblante, visual@
@looking glass@|@espelho@
@lookout@|@sentinela, vigia, vigilância@
@lookup@|@consulta, pesquisa@
@loon@|@lunático, mergulhão (ave), vadio@
@loony@|@louco, porra louca (gíria)@
@loop@|@acrobacia aérea, circuito, curva, laçada, laço@
@loophole@|@brecha (jurídica), fenda@
@loose@|@avulso@
@looser@|@perdedor@
@loot@|@saque@
@lopsided@|@desigual, torto@
@loquat (fruit)@|@nêspera@
@lord@|@mestre@
@Lord@|@Senhor@
@lordly@|@altivo, arrogante, desdenhoso, senhoril@
@lordosis@|@lordose@
@Lord's Prayer@|@pai-nosso (Mt 6:9-13)@
@Lord's Supper@|@Santa Ceia@
@lore@|@sabedoria tradicional@
@loser@|@fracassado@
@losings@|@perdas@
@loss@|@desperdício, extravio, perda, perdição, prejuízo@
@loss ratio@|@taxa de prejuízo do segurador@
@losses@|@prejuízo@
@lost@|@absorto, extraviado, perdido@
@lost and found@|@setor de achados e perdidos@
@lot@|@destino, lote, porção, quantidade, sorte, terreno@
@lot plot@|@gráfico de lote@
@Lothario@|@conquistador (de mulheres), sedutor@
@lottery@|@loteria@
@lottery ticket@|@bilhete de loteria@
@loud@|@alto, barulhento, berrante, estrondoso, gritante@
@louder@|@mais alto@
@loudspeaker@|@alto-falante@
@louse@|@piolho@
@lousy@|@péssimo, piolhento, vil@
@lovable@|@amável@
@love@|@amor@
@lover@|@amante@
@loving@|@terno@
@low@|@baixo@
@low life@|@escória, ralé@
@low season@|@baixa estação (turismo)@
@low tide@|@maré baixa@
@lowborn@|@classe inferior, plebeu@
@lowbred@|@malcriado@
@low-cut@|@decotado@
@lower@|@mais baixo@
@lower class@|@classe operária, operariado@
@lowered@|@bemolizado (música), diminuído, rebaixado@
@lowering@|@baixa@
@lowermost@|@o mais baixo, o mais inferior@
@low-fire@|@de baixa (temperatura)@
@lowland@|@baixada@
@lowlife@|@crápula, merda (pessoa)@
@lowliness@|@baixeza, humildade, vileza@
@loyal@|@leal@
@loyalty@|@lealdade@
@LQ (Letter Quality)@|@LQ, QC (Qualidade Carta)@
@lube@|@lubrificação (de motor), lubrificante (íntimo)@
@lubricant@|@lubrificante@
@lubricating@|@lubrificante@
@lubrication@|@lubrificação@
@lubricous@|@lúbrico@
@lucidity@|@lucidez@
@lucifer@|@fósforo, Lúcifer@
@luck@|@sorte@
@lucky@|@afortunado, ditoso, sortudo@
@lucrative@|@lucrativo@
@lucre@|@grana (gíria), lucro@
@ludicrous@|@caricato, cômico, ridículo@
@luggage@|@bagagem@
@Luke@|@Lucas@
@lukewarm@|@morno, sem entusiasmo@
@lullaby@|@acalanto, canção de ninar@
@lulu@|@beldade@
@lumber@|@madeira, taco (beisebol)@
@luminance@|@luminância, luminosidade@
@luminosity@|@luminosidade@
@luminous@|@luminoso@
@lump@|@bocado, caroço, massa, nó, pedaço, torrão@
@lump of brown sugar@|@rapadura@
@lump sum@|@importância bruta, números redondos, soma global@
@lump sum appropriation@|@verba orçamentária global@
@lunar@|@lunar@
@lunary@|@lunar@
@lunch@|@almoço@
@lung@|@pulmão@
@lunge@|@guinada@
@lunger@|@tuberculoso@
@lurch@|@abandono, dificuldade, emboscada@
@lure@|@chamariz, engodo, isca@
@lurid@|@assustador, chocante, horrível, sensacionalista@
@luscious@|@apetitoso, gostoso, suculento, voluptuoso@
@lush@|@exuberante, pessoa atraente (gíria)@
@lust@|@luxúria@
@luster@|@esplendor, lustro, resplendor@
@lustful@|@libidinoso, luxurioso@
@lusty@|@robusto, vigoroso@
@lute@|@alaúde@
@luxuria (deadly sin)@|@luxúria (pecado mortal)@
@luxuriant@|@luxuriante, viçoso@
@luxury@|@luxo@
@lye@|@barrela, lixívia@
@lying@|@falsidade, mentira@
@lying-in@|@parto@
@lynx@|@lince@
@lyre@|@lira@
@lyric@|@lírico, poético@
@lyrical@|@lírico@
@lyricism@|@lirismo@
@lyricist@|@letrista@
@lyrics@|@letra de música@
@m@|@m (metro), um mil@
@M (Major)@|@acorde ou intervalo Maior@
@m.p.h. (miles per hour)@|@milhas por hora@
@M-1@|@M-1 (rifle semi-automático)@
@macabre@|@macabro@
@macaroni@|@macarrão@
@macaw@|@arara@
@mace@|@cacete@
@machine@|@aparelho, máquina, pessoa eficiente@
@machinery and equipment@|@máquinas e equipamentos@
@macho@|@macho, masculino, sapatão (gíria)@
@mackerel@|@cavalinha@
@mad@|@desatinado, louco@
@mad cow disease@|@doença da vaca louca@
@mad house@|@manicômio@
@made@|@feito@
@Madeira (wine)@|@madeira@
@madman@|@louco@
@madness@|@raiva@
@maestro@|@mestre@
@magazine@|@revista@
@magic@|@magia, mágica@
@magic wand@|@varinha de condão@
@magician@|@ilusionista, mágico, mago, prestidigitador@
@magnesium@|@magnésio@
@magnetic@|@magnético@
@magnetized@|@enfeitiçado, magnetizado@
@magnifying glass@|@lente de aumento@
@magnitude@|@magnitude@
@magpie@|@pega@
@magus@|@mago@
@Magyar@|@húngaro, magiar@
@mahogany@|@mogno@
@maid@|@criada, dama, donzela, moça, solteira@
@maiden@|@donzela, inaugural@
@maiden name@|@nome de solteira@
@maiden voyage@|@viagem inaugural@
@maid-of-honour@|@dama@
@maidservant@|@criada, doméstica, serva@
@mail@|@armadura, correio, correspondência, mala postal@
@mail order (M.O.)@|@vale postal@
@mail transfer@|@ordem de pagamento postal, ordem por carta@
@mail-order house@|@empresa de venda pelo correio@
@maiming@|@desmembramento@
@main@|@adutora, essencial, parque principal, principal@
@main course@|@prato principal@
@main gate@|@portaria@
@main office@|@escritório central@
@main pieces@|@peças mestras@
@main point@|@busílis@
@mainframe@|@computador de grande porte, mainframe@
@mainly@|@principalmente@
@mainstream@|@convencional@
@maintainability@|@mantenabilidade@
@maintenance@|@manutenção, pensão alimentícia, sustento@
@Maintenance Bond@|@Garantia de Manutenção@
@maize (GB)@|@milho@
@maize bread@|@broa@
@majestic@|@majestoso@
@majesty@|@majestade@
@majolica@|@maiólica@
@major@|@grande, maior, major (militar), principal@
@majoritary@|@majoritário@
@majoritary interest@|@interesse majoritário@
@majority@|@maioridade@
@make@|@fabricação, marca, modelo, tipo@
@make out@|@pegação (gíria)@
@maker@|@autor, criador, fabricante@
@makeup@|@composição, maquiagem@
@making@|@fabricação@
@malar@|@malar@
@malaria@|@malária@
@Malay@|@malaio, malásio@
@Malaysia@|@Malásia@
@male@|@macho@
@male homosexual@|@boiola (gíria), homossexual@
@malfeasance@|@conduta ilegal, inadimplemento, infração@
@malice@|@maldade, malícia@
@malign@|@maligno@
@mall@|@alameda, avenida, shopping center@
@mallet@|@baqueta, martelo de madeira, taco de pólo@
@mallow@|@malva@
@malnutrition@|@desnutrição, subnutrição@
@malt@|@malte@
@Maltese@|@maltês@
@malversation@|@malversação@
@mameluke@|@mameluco@
@mamma@|@mama (teta), mamãe (informal)@
@mammal@|@mamífero@
@mammiferous@|@mamífero@
@mammoth@|@mamute@
@man@|@homem@
@man alive !@|@caraca !, caramba !@
@man eater@|@antropófago, canibal, tubarão comedor de gente@
@man of war@|@navio de guerra@
@man overboard !@|@homem ao mar !@
@man-about-town@|@playboy@
@management@|@administração, gerência@
@manager@|@administrador, gerente@
@manageress@|@administradora, diretora@
@managing director@|@diretor administrativo@
@mandamus@|@mandamus (mandato judicial)@
@mandatory@|@mandatário, obrigatório@
