@Mam Todos Santos@|@English@
@nya ikju@|@it isn't like this@
@nya nim@|@few, very few, not very many@
@nya nim b'och@|@few pigs, not very many pigs@
@nya o'kxjo@|@not only this (nya 'not' - o'kxjo 'enough' or 'only' or 'just'), also, besides, additionally@
@nya qaj qo'xe@|@we don't to go@
@nya qaje@|@we don't want@
@nya tb'anel@|@it isn't good, bad@
@Nya waje@|@I don't want to@
@nyapelo@|@all of a sudden, unexpected@
@nyaye'@|@my grandmother@
@o@|@distant past tense completed action marker that was gramaticized from oje, distant past marker for the first person plural (we) in dependent phrases (the past dependent is marked by the absence of a tense marker so when it synthesizes with the first consonant of the absolutive third person plural marker qo it causes the first consonant to drop leaving just the 'o'), we (in the distant past)@
@o'@|@first person plural marker used before a word that starts with a vowel we inclusive and exclusive@
@o'kal@|@go in to a specific point@
@o'kal-@|@go in to a specific point@
@o'ktzan@|@only@
@o'kx@|@only, just@
@o'kx taq'wi@|@began@
@o'kxix@|@only, just@
@o'kxju@|@enough@
@o'kxku@|@only begotten, only, just@
@o'kxtenjo@|@only, just@
@o'kxtzan@|@only (Ma o'kxtzan jlu' ktzajel tq'o'na? That is all you are going to give?)@
@o'laj@|@fifteen@
@o'lajuj@|@fifteen@
@o'ma@|@yes, true@
@o'mutx'@|@four hundred@
@o'nb'il@|@help@
@o'q'il@|@to cry@
@o'tzan@|@well (emphatic statement Well I don't think so)@
@o'wt@|@would have been@
@o'x@|@achiote@
@o'yb'il@|@gift@
@o'yb'itz@|@gift@
@o'yoye'@|@we (exclusive), independent pronoun first person plural exclusive@
@O b'inchene wab'j njaye.@|@We made food at my house.@
@o che ten@|@they were@
@o che tene@|@you all were@
@O che yolin@|@They spoke, They talked@
@O che yoline@|@You all spoke, You all talked@
@o chin tene@|@I was@
@o chin yoline@|@I spoke, I talked@
@O jaw anq'in Jesucrist juntl majl@|@Jesus Christ has risen to live again@
@O pakb'ane kyuk'e qerman.@|@We preached with our brothers.@
@o qo ten@|@we were (inclusive)@
@o qo tene@|@we were (exclusive)@
@o qo xe'le@|@we are going to go@
@O qo yolin@|@We spoke (inclusive), We talked (inclusive)@
@o qo yoline@|@we spoke (exclusive), we talked (exclusive)@
@o ten@|@we were (inclusive)@
@O ten tuj tnam@|@We (all of us) were in town@
@o tena@|@you were@
@o tene@|@we were (exclusive)@
@O tene toj nimaq chmab'il Quetzaltenango@|@We were at the Assembly in Quetzaltenango@
@O tene tuj tnam@|@We were in town@
@o yolin@|@he (she) talked, she (he) spoke, we spoke (inclusive), we talked (inclusive)@
@o yolina@|@you spoke, you talked@
@o yoline@|@we (exclusive) spoke, we (exclusive) talked@
@ob'al@|@a holy day on the mayan calendar@
@ob'aq@|@soot@
@ob'et@|@we (including you) walked@
@ob'ete@|@we (not you) walked@
@ob'x@|@within five daysl@
@oiky'il@|@to bet, to wager@
@oj@|@when (when speaking of the future), avocado, that one, those, in, inside, marker for present perfect, introduces an adverbial clause that adds information with significance to what will happen in the future and usually means 'when' (Lay tz'el naja ti' nk'u'ja oj wanja - I wont forget you "when" I leave), relational noun meaning in or inside, prefix added to a noun to indicate the profession or trade of a person@
@oja@|@yes, true@
@oje@|@already, phrase utilized in answer to a question (, phrase utilized in answer to a question (Did you already do your homework? 'Already' meaning yes I already did it)@
@ojla'n@|@counting@
@ojlab'@|@far, distant@
@ojlab'il@|@a park, parking meter, place of rest, place to rest@
@ojlal@|@to rest, to rest whether man or animal, to count@
@ojlal tenb'il@|@parking meter@
@ojlalb'il@|@place or instrument that is used for resting@
@ojlob'@|@measure of length equivalent to 4 kilometers@
@ojqal@|@rapidly, in a hurry@
@ojqel@|@fast, go as quickly as possible, quickly, rapidly, to do something rapidly, to go in a hurry@
@ojqelan@|@rapid@
@ojqelb'il@|@means or instrument used to do something quickly@
@ojqelil@|@come or go in a hurry, hurry@
@ojqelxix@|@very quickly, very fast@
@ojsqueb'il@|@speed, velocity@
@ojtxa@|@before, aforetime, a time long ago (in ancient history)@
@ojtxax@|@antique@
@ojtxe@|@long ago, formerly, once upon a time, years ago@
@ojtxi@|@for a long time, before, a long time ago, a while ago@
@ojtxi'@|@a long time ago, years ago@
@ojtzaqi'l@|@to know@
@ojtzqi'b'il@|@the means used in order to know something (by going to college or reading a book or talking to someone who knows etc)@
@ojtzqi'n kyu'n@|@they know@
@ojtzqib'il@|@knowledge@
@ojtzqil@|@to know, to be acquainted with, to see@
@ojtzqin kyu'n@|@they knew@
@ok@|@inward, go in, come in, put, place (put something somewhere), became, came to be, enter, going in, entering, when (future), yes (future), to be useful for, to be used or utilized (We used the rock as our chair), enter some type of service (military, domestic, etc), marker of actions that can or will take place in the future, directional or intransitive verb meaning to enter or to go in and indicates movement of action from here inward (it also corresponds to the cardinal direction East), introduces an adverbial clause that adds information with significance to what will happen in the future and usually means 'when' (Dad is bringing you candy when he gets home), motion to the east, this directional can serve as an auxillary to the main verb in a phrase to change or influence the meaning of the predicate (verb phrase)@
@ok-@|@go in@
@ok  tq'o'n@|@he puts it in or inside@
@ok Abrahan te amiw qMan Dios@|@Abraham was God's friend@
@ok aq'@|@to love, to put or place on or above, to put on something, to use something@
@Ok che okel toj juntl seman@|@They will come in one week@
@ok che tel@|@they will be@
@Ok che tel toj nimaq chmab'il@|@They will be at the assembly@
@Ok che tel toj xnaq'tzb'il@|@They will be at school@
@Ok che tel tuj ninq'ij@|@They will be at the party@
@ok che tele@|@you all will be@
@ok che xel ajb'el Huehuetenango@|@They will go to serve in Huehuetenango@
@ok che xel aq'unal toj mlaj@|@they are going to work on the coast@
@ok che xel toj nimaq chmab'il@|@they will go to the assembly@
@ok che xnaq'tzal toj qyol mam@|@they will study the Mam language@
@ok che yolil@|@they will talk@
@ok che yolile@|@you all will talk@
@ok chin ajlale@|@I will rest@
@ok chin aq'unale@|@I will work@
@Ok chin aq'unale tuk'ila?@|@Can I work with you?@
@Ok chin jawile nchi'j@|@I will go up tomorrow@
@Ok chin okele kab'j@|@I will come the day after tomorrow@
@ok chin pakb'ale@|@I will preach@
@ok chin tele@|@I will be@
@Ok chin tele kyuk'e wamiwe@|@I will be with my friends@
@Ok chin tele njaye@|@I will be in my house@
@Ok chin tele tuj waq'une@|@I will be at work@
@ok chin xe'le@|@I am going to go@
@Ok chin xele q'ol jun chikb'ab'il.@|@I am going to give a discourse, I am going to give a talk.@
@ok chin xnaq'tzale@|@I will study@
@ok chin yolile@|@I will talk@
@Ok chin yolile@|@I will speak, I will talk@
@ok iq'@|@to enter, to go in@
@ok kajlal@|@he (she) will rest@
@ok kaq'unal@|@he (she) will work@
@ok kpakb'al@|@he (she) will preach@
@ok ktel@|@he or she will be@
@ok ktela@|@you will be@
@Ok kub'ul nchmane nchi'j@|@My grandfather will come down tomorrow@
@ok kyolil@|@he (she) will talk@
@ok kyolila@|@you will talk@
@ok nb'i'njunyole ti'ja@|@I heard something about you@
@ok nchin wa'na@|@I will be eating@
@ok qo ajlale@|@we will rest@
@ok qo aq'unale@|@we will work@
@ok qo pakb'ale@|@we will preach@
@ok qo tel@|@we will be (inclusive)@
@ok qo tele@|@We will be (exclusive)@
@Ok qo tele kyuk'e qamiwe@|@We will be with our friends@
@Ok qo tele kyuk'e qerman@|@We will be with the brothers@
@Ok qo tele qjaye@|@We will be at home@
@ok qo xnaq'tzale@|@we will study@
@ok qo yolil@|@we (inclusive) will talk@
@Ok qo yolil@|@We (inclusive) will talk@
@ok qo yolile@|@We (exclusive) will talk@
@ok taq'@|@he puts it in or inside@
@ok ten@|@began, begin, started@
@ok tiky'set Tyol Dyos@|@during the mass@
@ok tq'o'n tk'wa@|@to dye@
@okel@|@to go or pass from one place to the inside of another place, from there to here or toward here@
@oki@|@yes (future)@
@okil@|@to enter, to go in, to come in, to put, to place, to be useful for, to be used or utilized (We used the rock as our chair), to enter some type of service (military, domestic, etc), intransitive verb from which the directional ok (to enter) is derived@
@okintil@|@characteristic of a person who does things rapidly@
@okl@|@directional adverb that indicates that an object is located more toward the center or toward the bottom, inward, to the East, deeper, further in@
@okla@|@maybe, maybe so, perhaps@
@oklenj@|@important position that someone occupies and the value of that person due to their position, position of authority, authorities@
@oknal@|@to use@
@oknax@|@East (directional adverb)@
@okni@|@beginning to form, coming into being, East, nascent, Orient, positional adverb that refers to a place located higher up, to the west, Westward@
@oknix@|@place adverb that indicates that a place is much further than the point of reference, place that is situated under the hills, West (I am going in a westerly direction)@
@oknixi@|@over there much further@
@okpela@|@it will be, it will be that @
@okpil@|@to enter arriving there (He arrived in the market), this word comes from okpin which is composed of ok 'to enter' and pon 'to arrive there'@
@okpon@|@directional meaning inward arriving there, inside arriving there@
@oksa'n@|@used@
@oksa-@|@to cause to enter@
@oksal k'ujb'aj@|@to counsel, to persuade, to persuade someone to do or refrain from doing something@
@oksal tq'u'j@|@to advise@
@oksil@|@to use@
@oksil k'u'jb'aj@|@counsel, preach@
@okslab'il@|@belief, to believe@
@okslal@|@believer, convert, faithful, loyal, religious, to believe@
@okt@|@after@
@oktoq@|@potential imperfect marker to indicate an action you were going to do in the immediate future that you will not be carrying out (Oktoq qo b'etile tu'n qqane 'We were going to travel by foot)@
@oktoq qo xele ka'yil teya@|@We were going to go to see you@
@oktz@|@entered, in toward, to come in here, directional meaning 'inward this way' (formed by the directional ok meaning 'in' and the directional tzaj meaning 'toward' showing the trajectory to be coming inward), in toward here@
@Oktz nim jb'al toj t-chkin ja@|@A lot of water enter the house through the coping@
@Oktz ntxu'ye toj ja@|@My mother went in (entered) the house@
@oktzil@|@to enter@
@okul@|@directional meaning inward arriving here, inside arriving here@
@okx@|@entered, directional meaning 'in away' (this is the combination of the directional ok meaning 'in' and xi meaning 'away' showing the trajectory to be going in away from the speaker), directional meaning inward that way, in toward there@
@Okx Jesús ik tze'n jun ajkawil@|@Jesus entered like (how) a king@
@okx toj twi'@|@to suffer a mental illness@
@okx tq'o'n@|@to fit in, to put in, to put something inside something else@
@okxil@|@going to enter (She is going to start kindergarten next year)@
@okz'oki@|@yes@
@olote@|@corn cob@
@om@|@you (familiar between men)@
@onb'il@|@aid, aid (not necessarily financially), help@
@ónel@|@helper@
@onen@|@bumblebee@
@onil@|@help, to benefit, to help morally economically or physically directly or indirectly, to minister to someone, helper@
@onil ajq'an@|@a nurse@
@onil ajq'anal@|@assistant@
@onin@|@to help@
@onina@|@help@
@oq@|@flee, run away@
@oq'@|@to cry, to moo (cow), to low (cow), to bellow (cow)@
@oq'b'il@|@something that causes crying@
@oq'ij@|@Wednesday@
@oq'il@|@crying, for any animal to sing or make its noise, this is the generic term for crying, to croak (a frog), to cry, to cry continually, to weep, weeping, whimper, whine, to express affliction (perceived or real) with words or sounds@
@oq'iltze'@|@an expression used to indicate that someone is smiling because they are at the point of crying@
@oq'iltze' te saj ti'j k'wal@|@The child was given to laugh and cry.@
@oq'sal@|@to make someone cry@
@oq'set@|@was lamented@
@oqb'e@|@abandon@
@oqb'il@|@to abandon@
@oqel@|@to run@
@oqelil@|@to hurry up, to come or go in a hurry@
@oqelil vi@|@to go or come in a hurry, to rush, to run urgently, to move or slide something, to go hurridly, to flow@
@oqil@|@to flee, to escape, to run away from@
@oql@|@to flee (ok kqo-oqela qa kukx toq q'oj We will flee if the war continues)@
@oqlin@|@to escape, to uncover, to disappear in the distance@
@oqna@|@east@
@oqoq@|@pig@
@oqtz@|@wooden post, prop@
@oqxe'nil@|@to entrust someone with the care of something, to entrust, order or request that a person makes of another to perform a certain task or be responsible for something or someone@
@oqxenaj@|@charge, parcel, order or request that a person makes of another to perform a certain task or be responsible for something or someone@
@oqxenij@|@package@
@oqxenil@|@to ask someone to bring you a parcel, to ask someone to bring you an object, to entrust someone with the care of something or someone, to entrust, to order or request that someone perform a certain task for you or be responsible for something or someone for you@
@oqxenj@|@errand, order, job assignment, to entrust someone with the care of something or someone@
@otaq@|@was having, will already have (done this or that - otaq is a past perfect marker - otaq b'aj wa'n - He will have eaten), already@
@otk@|@after@
@oto'@|@we are (inclusive)@
@oto'taqa@|@we were@
@oto'ya@|@we are (exclusive)@
@otxa@|@long ago@
@otz'o'x@|@small tree with purple flowers@
@ow@|@you (familiar between spouses)@
@ox@|@three@
@ox'ix@|@three each, by threes, three to each one@
@ox'ox@|@three each, by threes@
@ox xinaq@|@three men@
@oxa@|@three@
@oxab'@|@in three years, within three years@
@oxab'a@|@three years ago@
@oxab'i@|@three years ago@
@oxb'e@|@Oxbe country house of the Democracy Huehuetenango@
@oxb'utx'@|@triangle (shape)@
@oxe@|@three@
@oxechaq@|@three by three, three at a time, in threes@
@oxeje@|@three days ago@
@oxeje'@|@past tense adverb that indicates three days ago@
@oxj@|@in three days, within three days@
@oxk'al@|@sixty, three twenties@
@oxkaj@|@three each@
@oxlaj@|@thirteen@
@oxlajk'al@|@two hundred sixty, thirteen twenties@
@oxoje@|@three days ago@
@oxoxchaq@|@indicates three by three@
@oxwinaq@|@sixty@
@oy@|@exclamation meaning fat chance, to offer@
@oyab'an@|@mutual assistance@
@oyaj@|@something that was a gift, a gift, a tip, a gratuity@
@oyb'e'tz@|@gift, an object that has been predestined to be given@
@oyb'il@|@snack, food that is taken to work to nourish someone until lunchtime arrives, offering@
@oyil@|@to give as a gift, to give away, to offer, to wait, custom of exchanging food or meat tamales for Christmas and bread for the Holy Week (Each person gives something to a family and that family gives similar things to them later)@
